"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"494540021899067392","494517950087299072","5743852","2014-07-30 17:48:23 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@qrush I did get the pingdom email but I wasn't near my phone or computer.","","","",""
"494517281989206016","494515042596184065","5743852","2014-07-30 16:18:02 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@qrush @evanphx @samkottler It's back up now. Looks like it was a load issue.","","","",""
"494121099223785473","494119258217906178","213767432","2014-07-29 14:03:45 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@arthurnn Just saw that too... :/","","","",""
"492773402994683904","","","2014-07-25 20:48:29 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","If your company needs a ""customer loyalty department"" you're doing it wrong.","","","",""
"492313996272209920","","920548255","2014-07-24 14:22:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Runscope What does 'Expired' mean on radar tests? Seeing a ton of them today.","","","",""
"491938784502505472","","","2014-07-23 13:32:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","It's so dark here in Avon. Like nighttime dark. #crazywx","","","",""
"491579360223055872","491574907936202753","15777123","2014-07-22 13:43:47 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@dandenney I forgot outbox was a thing.","","","",""
"491419154453245953","491414169086722049","11731302","2014-07-22 03:07:11 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@mtthgn @trinary See: https://t.co/jTgXU1hyAe","","","","https://github.com/bundler/bundler/issues/2379"
"491415855805116416","491414169086722049","11731302","2014-07-22 02:54:04 +0000","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","@mtthgn Try bundler version 1.6.3","","","",""
"491358623738515457","491358417462632448","14869810","2014-07-21 23:06:39 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@trinary @mtthgn @rubygems_status Oh good! I couldn't come up with anything on our end. Glad you figured it out!","","","",""
"491293263077588993","","","2014-07-21 18:46:56 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @embee: what happens when non-tech people discover web developer tools http://t.co/ApyRlC4niw","416121742738739200","699293","2013-12-26 08:22:09 +0000","http://twitter.com/embee/status/416121742738739200/photo/1,http://twitter.com/embee/status/416121742738739200/photo/1"
